distrito_id,distrito_nombre,total_mesas,Fuerza Patria,La Libertad Avanza,OTROS,pct_zero_FP,pct_zero_LLA
2,BUENOS AIRES,38760,435,388,401,1.12,1
3,CATAMARCA,1468,38,40,38,2.59,2.72
6,CHACO,2977,22,13,11,0.74,0.44
7,CHUBUT,1450,15,15,14,1.03,1.03
1,CIUDAD AUTÓNOMA DE BUENOS AIRES,7284,49,48,45,0.67,0.66
5,CORRIENTES,2807,11,14,11,0.39,0.5
4,CÓRDOBA,9262,144,51,42,1.55,0.55
8,ENTRE RÍOS,3469,20,15,17,0.58,0.43
9,FORMOSA,1512,7,8,31,0.46,0.53
10,JUJUY,1806,15,16,14,0.83,0.89
11,LA PAMPA,915,3,2,4,0.33,0.22
12,LA RIOJA,1322,13,12,14,0.98,0.91
13,MENDOZA,4445,10,12,10,0.22,0.27
14,MISIONES,2929,11,8,6,0.38,0.27
15,NEUQUÉN,1747,11,7,7,0.63,0.4
16,RÍO NEGRO,1844,13,12,11,0.7,0.65
17,SALTA,3361,120,122,119,3.57,3.63
18,SAN JUAN,1843,10,11,8,0.54,0.6
19,SAN LUIS,1335,11,9,21,0.82,0.67
20,SANTA CRUZ,879,5,5,6,0.57,0.57
21,SANTA FE,8423,29,24,16,0.34,0.28
22,SANTIAGO DEL ESTERO,4726,81,143,101,1.71,3.03
24,TIERRA DEL FUEGO AeIAS,453,1,1,0,0.22,0.22
23,TUCUMÁN,3975,10,11,9,0.25,0.28
,TOTAL,108992,1084,987,956,0.99,0.91
